product,dimension,original_value,cleaned_value,reason
glom-mig-inte-tunic-2#LrgPastel,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
glom-mig-inte-tunic-3#Daisies,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
goddess-upf-50-tunic#WhtStripe,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
harbour-top#YachtStrip,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
haze-swing-top#OffWhite,sleeve,6cm,,OUT_OF_RANGE_20.0_140.0
hem-frill-stripe-top#Frilled,hip,255cm,,OUT_OF_RANGE_50.0_180.0
hem-frill-stripe-top#Frilled,hip,260cm,,OUT_OF_RANGE_50.0_180.0
hem-frill-stripe-top#Frilled,hip,265cm,,OUT_OF_RANGE_50.0_180.0
hem-frill-stripe-top#Frilled,hip,270cm,,OUT_OF_RANGE_50.0_180.0
hem-frill-stripe-top#Frilled,hip,275cm,,OUT_OF_RANGE_50.0_180.0
hem-frill-stripe-top#Frilled,hip,280cm,,OUT_OF_RANGE_50.0_180.0
hem-frill-stripe-top#Frilled,hip,285cm,,OUT_OF_RANGE_50.0_180.0
hem-frill-stripe-top#Frilled,hip,290cm,,OUT_OF_RANGE_50.0_180.0
hem-frill-stripe-top#SoFrilled,hip,255cm,,OUT_OF_RANGE_50.0_180.0
hem-frill-stripe-top#SoFrilled,hip,260cm,,OUT_OF_RANGE_50.0_180.0
hem-frill-stripe-top#SoFrilled,hip,265cm,,OUT_OF_RANGE_50.0_180.0
hem-frill-stripe-top#SoFrilled,hip,270cm,,OUT_OF_RANGE_50.0_180.0
hem-frill-stripe-top#SoFrilled,hip,275cm,,OUT_OF_RANGE_50.0_180.0
hem-frill-stripe-top#SoFrilled,hip,280cm,,OUT_OF_RANGE_50.0_180.0
hem-frill-stripe-top#SoFrilled,hip,285cm,,OUT_OF_RANGE_50.0_180.0
hem-frill-stripe-top#SoFrilled,hip,290cm,,OUT_OF_RANGE_50.0_180.0
hi-low-top-1#Black,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
hi-low-top-1#Navy,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
hooded-cardi-1#Fern,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
huddle-up-knit-1#Oatmeal,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
icing-sugar-top#Ivory,sleeve,14cm,,OUT_OF_RANGE_20.0_140.0
icing-sugar-top#Ivory,sleeve,14cm,,OUT_OF_RANGE_20.0_140.0
indica-dress#Violet,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
intarsia-v-neck#FlannelCo,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
isa-top-1#Stripe,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
jules-coloured-stars-sweater#GreyMarl,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
karmen-top#HighRiskRe,sleeve,13cm,,OUT_OF_RANGE_20.0_140.0
kendall-sweater#Indigo,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
kendall-sweater#Khaki,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
lara-knit#CactusGree,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
layered-top-2#Navy,sleeve,15cm,,OUT_OF_RANGE_20.0_140.0
layered-top-2#White,sleeve,15cm,,OUT_OF_RANGE_20.0_140.0
layered-tunic-1#Natural,sleeve,6cm,,OUT_OF_RANGE_20.0_140.0
layered-tunic-1#PalePink,sleeve,6cm,,OUT_OF_RANGE_20.0_140.0
layered-tunic-1#White,sleeve,6cm,,OUT_OF_RANGE_20.0_140.0
leah-lace-top#Black,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
leende-blouse#Abstract,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
leende-blouse#Berries,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
leopard-print-kimono#GoldMulti,bust,200cm,,OUT_OF_RANGE_50.0_180.0
leopard-print-kimono#GoldMulti,waist,200cm,,OUT_OF_RANGE_50.0_180.0
liberty-knit#Indigo,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
linen-resort-shirt#Peach,,,,EMPTY_FILE
linen-v-neck-cami-2#BlueWhite,sleeve,12cm,,OUT_OF_RANGE_20.0_140.0
llama-long-sleeve-shirt#Mustard,hip,1230cm,,OUT_OF_RANGE_50.0_180.0
long-sleeve-essential-top#Black,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
long-sleeve-hi-low-top#Black,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
long-sleeve-hi-low-top#Navy,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
long-sleeve-luxe-shirt#Black,,,,EMPTY_FILE
long-sleeve-luxe-shirt#Navy,,,,EMPTY_FILE
long-sleeve-spot-top#Multispot,bust,182cm,,OUT_OF_RANGE_50.0_180.0
longline-stripe-cardi#FlannelCo,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
longline-stripe-cardi#MintCom,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
lounge-tunic#Black,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
lounge-tunic#Charcoal,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
madonna-ls-scoop-top#Black,,,,EMPTY_FILE
madonna-ls-scoop-top#White,,,,EMPTY_FILE
makeover-blouse#LimeGreen,bust,204cm,,OUT_OF_RANGE_50.0_180.0
makeover-blouse#LimeGreen,waist,204cm,,OUT_OF_RANGE_50.0_180.0
makeover-blouse#LimeGreen,hip,204cm,,OUT_OF_RANGE_50.0_180.0
maternity-breast-feeding-cami#White,,,,EMPTY_FILE
maya-purrfect-cats-top#CreamMulti,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
merino-high-low-top-3#Black,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
merino-high-low-top-3#Navy,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
merino-high-low-top-3#Wine,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
merino-wool-knit-cowl-neck-top#Black,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
merino-wool-knit-rib-top-1#Mocha,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
merino-wool-knit-rib-top-1#Navy,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
merino-wool-knit-top-1#Black,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
merino-wool-top-with-zips-1#Black,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
merino-wool-top-with-zips-1#Wine,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
merino-wrap-3#Black,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
merino-wrap-3#Navy,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
metallic-trim-pullover#BlushCom,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
midtown-jumper#Denim,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
momo-top#Black,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
montafon-long-cardi#Natural,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
moon-and-back-top#MoonBack,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
mosman-tee#Black,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
mosman-tee#Indigo,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
mosman-tee#Khaki,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
moulin-gauge-pullover#SeaCombo,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
multi-texture-cardi#PebbleMix,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
myra-top#Black,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
myra-top#Coral,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
natural-pattern-cocoon-cardigan#Blossom,bust,185cm,,OUT_OF_RANGE_50.0_180.0
natural-pattern-cocoon-cardigan#Blossom,bust,190cm,,OUT_OF_RANGE_50.0_180.0
newhaven-sweater#Black,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
newhaven-sweater#BlushMarle,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
newhaven-sweater#Burgundy,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
newhaven-sweater#Indigo,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
nova-lux-34-sleeve-top#AidaStripe,,,,EMPTY_FILE
off-shoulder-top-1#Strawberry,sleeve,18cm,,OUT_OF_RANGE_20.0_140.0
off-shoulder-top-1#Strawberry,sleeve,18cm,,OUT_OF_RANGE_20.0_140.0
off-shoulder-top-1#Strawberry,sleeve,19cm,,OUT_OF_RANGE_20.0_140.0
off-shoulder-top-1#Strawberry,sleeve,19cm,,OUT_OF_RANGE_20.0_140.0
on-safari-blouse#Jewel,bust,220cm,,OUT_OF_RANGE_50.0_180.0
on-the-horizon-swing-top-1#Khaki,bust,185cm,,OUT_OF_RANGE_50.0_180.0
on-the-horizon-swing-top-1#Khaki,hip,183cm,,OUT_OF_RANGE_50.0_180.0
on-the-horizon-swing-top-1#Khaki,bust,190cm,,OUT_OF_RANGE_50.0_180.0
on-the-horizon-swing-top-1#Khaki,hip,188cm,,OUT_OF_RANGE_50.0_180.0
on-the-horizon-swing-top-1#Khaki,bust,195cm,,OUT_OF_RANGE_50.0_180.0
on-the-horizon-swing-top-1#Khaki,hip,193cm,,OUT_OF_RANGE_50.0_180.0
on-the-horizon-swing-top-1#Khaki,bust,200cm,,OUT_OF_RANGE_50.0_180.0
on-the-horizon-swing-top-1#Khaki,hip,198cm,,OUT_OF_RANGE_50.0_180.0
on-the-horizon-swing-top-1#Khaki,bust,205cm,,OUT_OF_RANGE_50.0_180.0
on-the-horizon-swing-top-1#Khaki,hip,203cm,,OUT_OF_RANGE_50.0_180.0
on-the-horizon-swing-top-1#Khaki,bust,210cm,,OUT_OF_RANGE_50.0_180.0
on-the-horizon-swing-top-1#Khaki,hip,208cm,,OUT_OF_RANGE_50.0_180.0
on-the-horizon-swing-top-1#Khaki,bust,215cm,,OUT_OF_RANGE_50.0_180.0
on-the-horizon-swing-top-1#Khaki,hip,213cm,,OUT_OF_RANGE_50.0_180.0
open-plains-kimono-throw#NavyFleur,,,,EMPTY_FILE
orchid-tee-1#Indigo,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
oslo-chunky-sweater#Charcoal,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
paige-top#Black,waist,42cm,,OUT_OF_RANGE_50.0_180.0
paige-top#Black,waist,44cm,,OUT_OF_RANGE_50.0_180.0
paige-top#Black,waist,47cm,,OUT_OF_RANGE_50.0_180.0
paige-top#Black,waist,49cm,,OUT_OF_RANGE_50.0_180.0
paradise-top#Red,sleeve,18cm,,OUT_OF_RANGE_20.0_140.0
parisienne-cami-1#Black,,,,EMPTY_FILE
parisienne-cami-1#White,,,,EMPTY_FILE
parisienne-cami-cotton#Black,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
parisienne-cami-cotton#White,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
petra-knit#CharcaolT,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
petra-knit#Oatmeal,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
picnic-cape#Vino,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
pin-spot-top#Black,,,,EMPTY_FILE
reversible-scoopv-neck-tank#Black,sleeve,17cm,,OUT_OF_RANGE_20.0_140.0
reversible-scoopv-neck-tank#Navy,sleeve,17cm,,OUT_OF_RANGE_20.0_140.0
reversible-scoopv-neck-tank#White,sleeve,17cm,,OUT_OF_RANGE_20.0_140.0
reversible-stripe-vee-scoop-neck-tank#BlackWhite,sleeve,7cm,,OUT_OF_RANGE_20.0_140.0
rosebud-cardi#Indigo,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
rosebud-cardi#Khaki,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
rustler-shirt#Blush,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
saba-top-2#Catus,sleeve,7cm,,OUT_OF_RANGE_20.0_140.0
saffron-knit#Terracotta,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
sail-away-upf-50-top#BlkWhtStrp,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
salt-lake-ringer-tee-1#CloudStri,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
salva-t-shirt#Navy,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
shirt-in-a-box#Silver,sleeve,12cm,,OUT_OF_RANGE_20.0_140.0
short-stripe-cardi#CandyCombo,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
short-stripe-cardi#FernCombo,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
silk-blend-cardigan#Honey,,,,EMPTY_FILE
softly-falling-bamboo-tunic#Copper,hip,192cm,,OUT_OF_RANGE_50.0_180.0
softly-falling-bamboo-tunic#White,hip,192cm,,OUT_OF_RANGE_50.0_180.0
soho-v-neck-blouse#SohoPrint,hip,202cm,,OUT_OF_RANGE_50.0_180.0
stripe-me-happy-blouse#Ash,bust,12cm,,OUT_OF_RANGE_50.0_180.0
sugar-snaps-round-neck-layer-tank#Black,sleeve,2cm,,OUT_OF_RANGE_20.0_140.0
sugar-snaps-round-neck-layer-tank#Black,sleeve,3cm,,OUT_OF_RANGE_20.0_140.0
sugar-snaps-round-neck-layer-tank#Black,sleeve,5cm,,OUT_OF_RANGE_20.0_140.0
sugar-snaps-round-neck-layer-tank#Black,sleeve,6cm,,OUT_OF_RANGE_20.0_140.0
sugar-snaps-round-neck-layer-tank#Black,sleeve,7cm,,OUT_OF_RANGE_20.0_140.0
sugar-snaps-round-neck-layer-tank#Black,sleeve,8cm,,OUT_OF_RANGE_20.0_140.0
sugar-snaps-round-neck-layer-tank#Black,sleeve,9cm,,OUT_OF_RANGE_20.0_140.0
sugar-snaps-round-neck-layer-tank#Black,sleeve,11cm,,OUT_OF_RANGE_20.0_140.0
sugar-snaps-round-neck-layer-tank#DuckEgg,sleeve,2cm,,OUT_OF_RANGE_20.0_140.0
sugar-snaps-round-neck-layer-tank#DuckEgg,sleeve,3cm,,OUT_OF_RANGE_20.0_140.0
sugar-snaps-round-neck-layer-tank#DuckEgg,sleeve,5cm,,OUT_OF_RANGE_20.0_140.0
sugar-snaps-round-neck-layer-tank#DuckEgg,sleeve,6cm,,OUT_OF_RANGE_20.0_140.0
sugar-snaps-round-neck-layer-tank#DuckEgg,sleeve,7cm,,OUT_OF_RANGE_20.0_140.0
sugar-snaps-round-neck-layer-tank#DuckEgg,sleeve,8cm,,OUT_OF_RANGE_20.0_140.0
sugar-snaps-round-neck-layer-tank#DuckEgg,sleeve,9cm,,OUT_OF_RANGE_20.0_140.0
sugar-snaps-round-neck-layer-tank#DuckEgg,sleeve,11cm,,OUT_OF_RANGE_20.0_140.0
sugar-snaps-round-neck-layer-tank#White,sleeve,2cm,,OUT_OF_RANGE_20.0_140.0
sugar-snaps-round-neck-layer-tank#White,sleeve,3cm,,OUT_OF_RANGE_20.0_140.0
sugar-snaps-round-neck-layer-tank#White,sleeve,5cm,,OUT_OF_RANGE_20.0_140.0
sugar-snaps-round-neck-layer-tank#White,sleeve,6cm,,OUT_OF_RANGE_20.0_140.0
sugar-snaps-round-neck-layer-tank#White,sleeve,7cm,,OUT_OF_RANGE_20.0_140.0
sugar-snaps-round-neck-layer-tank#White,sleeve,8cm,,OUT_OF_RANGE_20.0_140.0
sugar-snaps-round-neck-layer-tank#White,sleeve,9cm,,OUT_OF_RANGE_20.0_140.0
sugar-snaps-round-neck-layer-tank#White,sleeve,11cm,,OUT_OF_RANGE_20.0_140.0
