person_id,product_id,label,negative_type
Sophie,falling-for-you-tunic#Rust,1,positive
Natalie,layer-top-1#Navy,1,positive
Emma,raspberry-ls-tee#WhiteRaspb,1,positive
Mae-Lee,falling-for-you-cardi#GreyMarle,1,positive
Jess,runaway-top#Sand,1,positive
Fiona,the-twist-front-top#Navy,1,positive
Jess,sontana-blouse#Stone,1,positive
Mae-Lee,the-long-sleeve-scoop-neck-tee#Black,1,positive
Amanda,the-stripe-tank-1#Hazelnut,1,positive
Laura,manhattan-stretch-tee#Navy,1,positive
Chelsea,oversize-contrast-hood-top#Steel,1,positive
Georgia,falling-for-you-cardi#Rust,1,positive
Emma,hem-frill-stripe-top#SoFrilled,1,positive
Kate,sugar-snaps-layers-tank#White,1,positive
Shadae,monaco-knot-top#Olive,1,positive
Palatina,you-at-my-shoulder-tunic#Black,1,positive
Jess,belle-v-neck-forgiver-tunic#ArmyGreen,1,positive
Ljubenka,softly-swinging-bamboo-tee#Starfish,1,positive
Amanda,the-blouson-sleeve-jumper#Grey,1,positive
Laura,softly-swinging-bamboo-tee#Blush,1,positive
Fiona,belle-v-neck-forgiver-tunic#White,1,positive
Fiona,hem-frill-stripe-top#Frilled,1,positive
Fiona,natural-pattern-cocoon-cardigan#Blossom,1,positive
Emma,sugar-snaps-layers-tank#PeachyKeen,1,positive
Jess,reversible-scoopv-neck-tank#White,1,positive
Katie,crushed-top#Blue,1,positive
Amanda,the-sleeveless-cross-over-blouse#Sunshine,1,positive
Tia,silver-dot-tie-sleeve-blouse#SilverDotP,1,positive
Perrie,the-everyday-shirt#Rose,1,positive
Jess,belle-half-sleeve-forgiver-tunic#Apricot,1,positive
Kate,the-sleeveless-cross-over-blouse#Black,1,positive
Emma,the-drape-tee-1#Black,1,positive
Lauren,layer-me-cotton-candy-top#Cream,1,positive
Ljubenka,softly-swinging-bamboo-singlet#BlueJean,1,positive
Alex,the-cross-over-blouse#Silver,1,positive
Riina,the-shoulder-tie-top#Black,1,positive
Olivia,runaway-top#SoftPink,1,positive
Jess,falling-for-you-cardi#Black,1,positive
Anna,the-cotton-bamboo-tee#DuckEgg,1,positive
Stacey,poncho-2#NavySilver,1,positive
Georgia,crossing-the-plains-sweater-1#Indigo,1,positive
Laura,the-wrap-jersey-top#NavyWhite,1,positive
Laura,the-long-sleeve-scoop-neck-tee#White,1,positive
Fiona,the-check-pullover#PinkCheck,1,positive
Laura,the-batwing-tee#Sea,1,positive
Thais,relaxed-top-1#FloraStrip,1,positive
Sophia,falling-for-you-cardi#Port,1,positive
Emma,the-relaxed-long-sleeve-tee#Navy,1,positive
Miranda,the-side-panel-drape-top#OffWhite,1,positive
Madeline,fluid-tunic-top#White,1,positive
Laura,softly-swinging-bamboo-tee#Black,1,positive
Summer,st-helens-henley-tee#White,1,positive
Ljubenka,the-high-low-drape-tee#Grey,1,positive
Laura,belle-half-sleeve-forgiver-tunic#MutedClay,1,positive
Maddy,sandy-off-the-shoulder-top#Gingham,1,positive
Laura,the-relax-blouse#White,1,positive
Madeline,natural-classic-cardigan#Pebble,1,positive
Gemma,lucy-rib-oversized-top#Black,1,positive
Jess,the-sleeveless-cross-over-blouse#Black,1,positive
Shadae,capri-tank-6#ClaySpot,1,positive
Natalie,sugar-snaps-layers-tank#PeachyKeen,1,positive
Riina,the-contrast-trim-knit#BlackWhite,1,positive
Laura,peasant-top-3#Denim,1,positive
Natalie,sugar-snaps-layers-tank#Red,1,positive
Mercy,belle-paint-brush-print-top#PaintPrint,1,positive
Kate,the-cross-over-blouse#Mint,1,positive
Stacey,the-tie-detail-hoody#FrenchBlue,1,positive
Chelsea,the-lace-trim-top#Ivory,1,positive
Chelsea,prickly-cactus-crew#Pink,1,positive
Sophie,the-contrast-panel-top#SageStripe,1,positive
Fiona,tracie-top#Opal,1,positive
Laura,the-tie-front-top#Black,1,positive
Anna,the-batwing-tee#FrenchBlue,1,positive
Chesska,agra-shirt#White,1,positive
Miranda,the-luxe-dobby-blouse#White,1,positive
Chelsea,cross-over-top-with-pocket#Emerald,1,positive
Laura,the-reversible-cowl-neck-top-1#Black,1,positive
Ljubenka,softly-swinging-bamboo-tee#Cashew,1,positive
Palatina,moonlight-kisses-bamboo-tee#Combat,1,positive
Laura,the-sleeveless-cross-over-blouse#White,1,positive
Summer,fundamental-vee-tee#White,1,positive
Sophia,the-luxe-long-sleeve-tee#GreyMarle,1,positive
Anna,the-cotton-bamboo-tank#Chambray,1,positive
Riina,the-relaxed-batwing-top#PeachRose,1,positive
Jess,the-cotton-bamboo-tank#Chambray,1,positive
Mae-Lee,long-sleeve-softly-swinging-bamboo-tee#Copper,1,positive
Perrie,the-cut-out-shoulder-blouse#Clay,1,positive
Lara,pattern-tunic-1#Lattice,1,positive
Georgia,sugar-snaps-layers-tank#PeachyKeen,1,positive
Mae-Lee,the-cut-out-shoulder-blouse#Blue,1,positive
Gemma,falling-for-you-cardi#Navy,1,positive
Maddy,abigail-stripe-shirt#BlackStrip,1,positive
Clementine,the-cross-front-spot-blouse#NavySpot,1,positive
Clementine,the-cotton-bamboo-tank#Chambray,1,positive
Maddy,the-cut-out-shoulder-blouse#Black,1,positive
Ljubenka,the-cut-out-shoulder-blouse#Blue,1,positive
Jess,natural-cropped-sleeve-knit#Cloudcover,1,positive
Laura,be-mine-top-1#Sage,1,positive
Mae-Lee,the-relaxed-long-sleeve-tee#Khaki,1,positive
Kate,the-sleeveless-cross-over-blouse#White,1,positive
Mae-Lee,the-drape-tee-1#Stripe,1,positive
Kate,the-cross-over-blouse#Black,1,positive
Louise,layered-tee-2#Black,1,positive
Sophie,the-relaxed-batwing-top#PeachRose,1,positive
Ljubenka,belle-flocked-tunic#White,1,positive
Maddy,the-long-sleeve-v-neck-tee#Black,1,positive
Amanda,the-essential-layering-tee#White,1,positive
Natalia,the-wrap-jersey-top-1#NavyStripe,1,positive
Amanda,the-daily-cross-over-top#PinkPrint,1,positive
Fiona,jade-kimono-sweet-blossoms#Blue,1,positive
Riina,the-relaxed-long-sleeve-tee-1#Ink%20Stripe,1,positive
Natalie,layered-tee-2#White,1,positive
Stefania,weekend-vibes-blouse#Blush,1,positive
Lauren,cotton-candy-side-split-top#IceBlue,1,positive
Laura,the-wrap-jersey-top#JetBlack,1,positive
Jess,the-batwing-tee#Black,1,positive
Emma,daisy-top-1#BrightBlue,1,positive
Fiona,the-weekender-shirt#DenimStrip,1,positive
Ljubenka,the-everyday-shirt#Cream,1,positive
Sophia,falling-for-you-cardi#Mustard,1,positive
Marnee,flow-with-me-slouch-top#Brick,1,positive
Jess,falling-for-you-cardi#Teal,1,positive
Miranda,the-roll-neck-sleeveless-top-1#Black,1,positive
Jess,the-cut-out-shoulder-blouse#Black,1,positive
Lisa,partly-cloudy-knit#Black,1,positive
Anna,the-cotton-bamboo-tee#BlueJeans,1,positive
Fiona,the-colour-block-pullover#Sage,1,positive
Alex,the-batwing-tee#FrenchBlue,1,positive
Jess,belle-square-neck-drape-tee#Vanilla,1,positive
Kate,the-batwing-tee#FrenchBlue,1,positive
Laura,falling-for-you-cardi#Port,1,positive
Shadae,st-helens-henley-tee#White,1,positive
Riina,the-cosy-cardigan#Grey,1,positive
Jess,sugar-snaps-layers-tank#Black,1,positive
Jess,long-sleeve-softly-swinging-bamboo-tee#BlueJeans,1,positive
Madeline,bertie-top#BlkCherry,1,positive
Gemma,bo-cosy-cardigan#Blossom,1,positive
Summer,printed-v-neck-top#Striped,1,positive
Amanda,the-box-top#Blush,1,positive
Fiona,belle-v-neck-forgiver-tunic#ArmyGreen,1,positive
Ljubenka,runaway-top#JetBlack,1,positive
Summer,faith-jumper#Eventide,1,positive
Sophia,weekend-tunic#Navy,1,positive
Jess,jasmine-singlet#White,1,positive
Sophia,geena-xo-ls-pullover-knit#WhiteCapGr,1,positive
Anna,the-cotton-bamboo-tank#DuckEgg,1,positive
Emma,side-buttoned-sweater#Buttoned,1,positive
Louise,paisley-top-1#Paisley,1,positive
Maddy,long-sleeve-tee-2#NavyWhite,1,positive
Riina,the-fleck-roll-neck-knit#Oatmeal,1,positive
Chelsea,the-ultimate-tie-cardi#Port,1,positive
Nadine,adventurous-hoody#Pink,1,positive
Shadae,clio-knit-jumper#Clay,1,positive
Jess,long-sleeve-softly-swinging-bamboo-tee#Oyster,1,positive
Georgia,cotton-candy-side-split-top#IceBlue,1,positive
Helen,this-mortal-coil-drape#StormClam,1,positive
Natalie,the-sleeveless-cross-over-blouse#Cobalt,1,positive
Georgia,rise-top#Ink,1,positive
Riina,messina-v-neck-tee#White,1,positive
Laura,falling-for-you-cardi#GreyMarle,1,positive
Stacey,in-transit-cardi#Navy,1,positive
Rosaline,the-fleck-roll-neck-knit#Oatmeal,1,positive
Kate,the-everyday-shirt#Midnight,1,positive
Stacey,side-buttoned-sweater#Buttoned,1,positive
Amanda,the-v-neck-stripe-top#BlkStripe,1,positive
Georgia,the-pirate-in-me-shirt#White,1,positive
Laura,the-cotton-bamboo-tank#Chambray,1,positive
Lauren,the-contrast-knit-1#Sage,1,positive
Natalia,geena-xo-ls-pullover-knit#Allure,1,positive
Natalia,the-relaxed-batwing-top#PeachRose,1,positive
Palatina,2-in-1-layered-top-1#NavyWhite,1,positive
Amanda,the-tie-detail-hoody#Pink,1,positive
Nadine,je-taime-knit#Navy,1,positive
Sophie,the-cross-over-top#NavyStripe,1,positive
Monique,anna-top#Leona,1,positive
Tia,panelled-stripe-top#NavyWhite,1,positive
Mae-Lee,belle-v-neck-forgiver-tunic#Navy,1,positive
Marnee,the-everyday-shirt#Pink,1,positive
Emma,long-sleeve-softly-swinging-bamboo-tee#Cashew,1,positive
Ljubenka,sugar-snaps-layers-tank#DeepCobalt,1,positive
Chesska,delicado-top#White,1,positive
Madeline,analia-jersey-top#Navy,1,positive
Mae-Lee,layered-tee-2#White,1,positive
Lisa,ashbury-cardigan#Mocha,1,positive
Chelsea,the-print-contrast-34-sleeve-top#Animal,1,positive
Mae-Lee,softly-swinging-bamboo-tee#Starfish,1,positive
Tia,softly-swinging-bamboo-tee#BlueJeans,1,positive
Amanda,the-frill-detail-blouse#Chambray,1,positive
Mae-Lee,sugar-snaps-layers-tank#DuckEgg,1,positive
Maddy,batty-about-you-cotton-tee#BlkWhite,1,positive
Ljubenka,softly-swinging-bamboo-tee#BlueJeans,1,positive
Tia,the-drape-tee-1#NavyStripe,1,positive
Summer,the-button-up-swing-tunic#Wine,1,positive
Ljubenka,layered-tee-2#Black,1,positive
Georgia,falling-for-you-tunic#Black,1,positive
Marnee,flying-free-top-3#WhiteBird,1,positive
Jess,paige-top#Black,1,positive
Laura,milan-stretch-top#SilverMarl,1,positive
Laura,square-nk-fray-trim-top#Denim,1,positive
Amanda,the-bonded-cotton-tunic-dress#Navy,1,positive
Fiona,sequin-star-tee#Navy,1,positive
Ljubenka,falling-for-you-cardi#Black,1,positive
Anna,the-cotton-bamboo-tee#White,1,positive
Laura,butterfly-kisses-tee#MustardStr,1,positive
Jess,butterfly-kisses-tee#Stripe,1,positive
Stefania,the-french-cuff-shirt#White,1,positive
Clementine,the-everyday-shirt#Midnight,1,positive
Marnee,kimono-and-me-cardi#Sand,1,positive
Mandy,woolly-spotted-hoodie#Navy,1,positive
Fiona,belle-v-neck-forgiver-tunic#Scarlett,1,positive
Marnee,sugar-snaps-layers-tank#Black,1,positive
Charlotte,natural-cross-back-knit#Lightsmoke,1,positive
Chelsea,cascade-hood-top#Black,1,positive
Sophie,printed-tunic-7#RedCheck,1,positive
Jess,the-drape-tee-1#Black,1,positive
Fiona,belle-v-neck-forgiver-tunic#Tobacco,1,positive
Marnee,sugar-snaps-round-neck-layer-tank#DuckEgg,1,positive
Ljubenka,the-asymmetrical-tank-top#Indigo,1,positive
Perrie,frost-cardigan#Mauvewoo,1,positive
Fiona,the-essential-layering-tee#White,1,positive
Natalia,falling-for-you-tunic#Black,1,positive
Summer,capri-tank-3#Navy,1,positive
Charlotte,natural-extra-fine-sweater#Snowgum,1,positive
Jess,belle-longline-white-shirt#White,1,positive
Marnee,runaway-top#SoftPink,1,positive
Helen,butterfly-blouse-1#Ivory,1,positive
Gemma,elcos-45-aop-top-jrs#BlackFlowe,1,positive
Chelsea,the-reversible-cowl-neck-top-1#White,1,positive
Laura,soft-and-true-tunic#Pine,1,positive
Jess,the-cotton-bamboo-tank#White,1,positive
Riina,the-cosy-cardigan#Blue,1,positive
Perrie,the-batwing-tee#Black,1,positive
Mandy,heartmade-sweater#Rust,1,positive
Amanda,the-bell-sleeve-top#BlkStripe,1,positive
Clementine,the-stitch-detail-top#SkyBlue,1,positive
Riina,the-zip-detail-jacket#Grey,1,positive
Denniel,the-cut-out-shoulder-blouse#Salmon,1,positive
Laura,runaway-top#SoftMint,1,positive
Kate,sugar-snaps-layers-tank#Blue,1,positive
Jess,the-fleck-roll-neck-knit#Oatmeal,1,positive
Georgia,cover-up-slouch-cardi#Alloy,1,positive
Kate,the-everyday-shirt#Black,1,positive
Chelsea,daylight-cardi#Silver,1,positive
Denniel,the-short-sleeve-wrap-jersey-top#Black,1,positive
Nadine,runaway-top#Sand,1,positive
Emma,weekend-tunic#Navy,1,positive
Laura,belle-half-sleeve-forgiver-tunic#FlamPink,1,positive
Ljubenka,belle-half-sleeve-forgiver-tunic#Apricot,1,positive
Laura,the-relaxed-long-sleeve-tee#Navy,1,positive
Mae-Lee,the-cotton-bamboo-tee#BlueJeans,1,positive
Ljubenka,falling-for-you-cardi#Dusty,1,positive
Chelsea,the-drape-tee-1#NavyStripe,1,positive
Kate,belle-half-sleeve-forgiver-tunic#MutedClay,1,positive
Fiona,the-zip-front-top#Rose,1,positive
Nadine,heartmade-cardi#DustyRose,1,positive
Ljubenka,the-cotton-bamboo-tank#Chambray,1,positive
Fiona,the-ruffle-sleeve-top#NavyStripe,1,positive
Natalie,sugar-snaps-layers-tank#Black,1,positive
Mae-Lee,the-cut-out-shoulder-blouse#Silver,1,positive
Mae-Lee,belle-half-sleeve-forgiver-tunic#White,1,positive
Natalia,cover-up-slouch-cardi#Alloy,1,positive
Bree,belle-half-sleeve-forgiver-tunic#FlamPink,1,positive
Kate,the-sleeveless-cross-over-blouse#Salmon,1,positive
Madeline,first-mix-top-1#BlackWhite,1,positive
Mae-Lee,daisy-chain-tassel-blouse#DeepBlue,1,positive
Nikki,the-drape-tee-1#Navy,1,positive
Summer,rib-tank-2#White,1,positive
Jess,sugar-snaps-layers-tank#SeaGreen,1,positive
Amanda,the-dobby-sleeve-tee#InkBlue,1,positive
Jess,belle-v-neck-forgiver-tunic#Tobacco,1,positive
Shadae,monaco-knot-top#ClaySpot,1,positive
Laura,dusk-top#DuskPrint,1,positive
Jess,layer-me-bamboo-rouched-sleeve-tee#White,1,positive
Madeline,print-tee-3#Bike,1,positive
Laura,softly-swinging-bamboo-tee#White,1,positive
Fiona,long-sleeve-softly-swinging-bamboo-tee#DuckEgg,1,positive
Laura,the-flutter-sleeve-top#Denim,1,positive
Maddy,marjorie-tie-blouse#BluePrint,1,positive
Perrie,dahlia-lace-trim-blouse#Dusk,1,positive
Miranda,the-open-sleeve-blouse#Berry,1,positive
Amanda,the-stripe-crossover-blouse#Bluestripe,1,positive
Emma,frost-cardigan#Mauvewoo,1,positive
Kate,the-cotton-bamboo-tee#DustyPink,1,positive
Gemma,sequin-cross-2-in-1-top#Navy,1,positive
Laura,the-drape-tee-1#White,1,positive
Georgia,falling-for-you-cardi-1#GreyGarden,1,positive
Natalie,the-cut-out-shoulder-blouse#Clay,1,positive
Mae-Lee,the-on-or-off-the-shoulder-top#FrenchNavy,1,positive
Kate,the-everyday-shirt#Pink,1,positive
Ljubenka,belle-v-neck-forgiver-tunic#BlueMarle,1,positive
Mae-Lee,delicado-top#White,1,positive
Laura,the-cotton-bamboo-tee#White,1,positive
Ljubenka,belle-half-sleeve-forgiver-tunic#Black,1,positive
Ljubenka,the-drape-tee-1#Stripe,1,positive
Jess,patchwork-tunic#Patchwork,1,positive
Fiona,long-sleeve-softly-swinging-bamboo-tee#BlueJeans,1,positive
Fiona,the-contrast-knit-1#Sage,1,positive
Ljubenka,sugar-snaps-layers-tank#Blue,1,positive
Tia,sugar-snaps-layers-tank#Red,1,positive
Stefania,the-relaxed-long-sleeve-tee#Navy,1,positive
Jess,softly-swinging-bamboo-tee#Copper,1,positive
Mae-Lee,double-layered-top-1#WSilver,1,positive
Georgia,summer-breeze-top-1#White,1,positive
Fiona,the-multi-stripe-cardi#Stripe,1,positive
Anna,belle-half-sleeve-forgiver-tunic#Black,1,positive
Chelsea,always-mine-v-neck-knit#Terracotta,1,positive
Summer,jewel-knit#GreyMarle,1,positive
Marnee,runaway-top#SoftMint,1,positive
Mae-Lee,falling-for-you-cardi#Teal,1,positive
Ljubenka,the-everyday-shirt#Black,1,positive
Alex,the-batwing-tee#Black,1,positive
Fiona,natural-cropped-sleeve-knit#Cloudcover,1,positive
Laura,overlay-top-2#Black,1,positive
Mae-Lee,the-cape-jersey-top#DarkNavy,1,positive
Jess,belle-flute-sleeve-tee#Navy,1,positive
Ljubenka,sugar-snaps-layers-tank#SeaGreen,1,positive
Nadine,mauevewood-crew#Charcoal,1,positive
Gemma,flow-with-me-slouch-top#Brick,1,positive
Palatina,beach-walk-shirt#Khaki,1,positive
Mae-Lee,softly-swinging-bamboo-tee#TeaRose,1,positive
Summer,tab-sleeve-longline-shirt#Pink,1,positive
Maddy,the-short-sleeve-wrap-jersey-top#NavyWhite,1,positive
Georgia,kimono-and-me-cardi#Sand,1,positive
Jess,butterfly-kisses-tee#Green,1,positive
Palatina,driftwood-gathering-blouse#Khaki,1,positive
Palatina,falling-flowers-blouse#DustyPink,1,positive
Sophie,long-sleeve-softly-swinging-bamboo-tee#Fern,1,positive
Riina,the-tie-detail-hoody#Pink,1,positive
Monique,double-layered-top-1#WBlack,1,positive
Ljubenka,falling-for-you-cardi#Teal,1,positive
Laura,belle-v-neck-forgiver-tunic#Tobacco,1,positive
Marnee,cool-breeze-jumper#Dust,1,positive
Jess,the-drape-tee-1#NavyStripe,1,positive
Natalia,the-twist-front-top#Navy,1,positive
Chelsea,printed-v-neck-blouse#NavyWhite,1,positive
Laura,ruffle-top-4#Black,1,positive
Anna,the-relaxed-long-sleeve-tee#Pink,1,positive
Nadine,long-sleeve-ruffle-shirt#White,1,positive
Jude,falling-for-you-cardi#Port,1,positive
Tia,the-cut-out-shoulder-blouse#Salmon,1,positive
Riina,the-weekender-shirt#GreyStripe,1,positive
Shadae,sequin-cross-2-in-1-top#Khaki,1,positive
Laura,the-sleeveless-cross-over-blouse#Salmon,1,positive
Sophie,the-dobby-sleeve-tee#White,1,positive
Fiona,belle-ls-free-fall-tee#Airforce,1,positive
Kate,the-cross-over-blouse#Silver,1,positive
Laura,the-on-or-off-the-shoulder-top#FrenchNavy,1,positive
Amanda,the-shoulder-tie-top#White,1,positive
Riina,the-panel-luxe-top#BlkWhite,1,positive
Perrie,the-short-sleeve-wrap-jersey-top#Black,1,positive
Anna,the-batwing-tee#Sea,1,positive
Mandy,je-taime-knit#Navy,1,positive
Maddy,the-wrap-jersey-top#JetBlack,1,positive
Gemma,spliced-lace-panel-tee#White,1,positive
Jess,picnic-top#BlackWhite,1,positive
Anna Maria,falling-for-you-cardi#Dusty,1,positive
Natalie,the-batwing-tee#Stone,1,positive
Marnee,falling-for-you-cardi#Black,1,positive
Madeline,natural-detailed-sweater#Tinroof,1,positive
Laura,layered-tee-2#Black,1,positive
Riina,the-daily-cross-over-top#SkyBlue,1,positive
Summer,clovis-shirt#NavyGold,1,positive
Mae-Lee,belle-v-neck-forgiver-tunic#White,1,positive
Ljubenka,belle-tie-neck-blouse-tee#RoyalBlue,1,positive
Fiona,the-cross-over-poncho#Navy,1,positive
Marnee,sugar-snaps-layers-tank#NewBeige,1,positive
Jess,belle-v-neck-forgiver-tunic#DenimMarl,1,positive
Amanda,the-zip-front-blouse#Khaki,1,positive
Lauren,the-cosy-cardigan#Grey,1,positive
Maddy,the-everyday-shirt#Rose,1,positive
Laura,butterfly-kisses-tee#Green,1,positive
Marnee,falling-for-you-cardi#Port,1,positive
Olivia,sugar-snaps-layers-tank#Black,1,positive
Georgia,long-sleeve-softly-swinging-bamboo-tee#White,1,positive
Natalie,sugar-snaps-layers-tank#NewBeige,1,positive
Georgia,sugar-snaps-throw-jacket#Black,1,positive
Amanda,the-sleeveless-cross-over-blouse#Chambray,1,positive
Katie,sparkly-star-tee#Blue,1,positive
Nadine,square-peg-pullover#SilverMix,1,positive
Sophie,long-sleeve-softly-swinging-bamboo-tee#White,1,positive
Ljubenka,the-cross-over-blouse#Mint,1,positive
Fiona,the-belle-sleeve-print-top#NavyPrint,1,positive
Laura,the-cross-over-blouse#Silver,1,positive
Anna,the-cross-over-blouse#Black,1,positive
Georgia,long-sleeve-softly-swinging-bamboo-tee#SilverScon,1,positive
Emma,floating-by-you-blouse#SeaFleur,1,positive
Miranda,the-asymmetrical-tank-top#Indigo,1,positive
Mae-Lee,the-cross-over-blouse#White,1,positive
Amanda,the-tie-front-tank#White,1,positive
Anneliese,tracie-top#Opal,1,positive
Gemma,falling-for-you-cardi#GreyMarle,1,positive
Laura,the-long-sleeve-scoop-neck-tee#Navy,1,positive
Perrie,the-cut-out-shoulder-blouse#Silver,1,positive
Stacey,block-sweater#Block,1,positive
Anna Maria,the-cross-over-top#NavyStripe,1,positive
Stefania,hayley-button-down#NavySparro,1,positive
Sophie,belle-half-sleeve-forgiver-tunic#Black,1,positive
Jess,the-cut-out-shoulder-blouse#Silver,1,positive
Mae-Lee,long-sleeve-softly-swinging-bamboo-tee#TeaRose,1,positive
Anna,milan-stretch-top#SilverMarl,1,positive
Perrie,the-cut-out-shoulder-blouse#White,1,positive
Clementine,the-bonded-cotton-tunic-dress#Navy,1,positive
Amanda,the-zip-front-blouse#Navy,1,positive
Anna,paradise-top#Red,1,positive
Emma,the-drape-tee-1#NavyStripe,1,positive
Perrie,the-design-fold-tunic-top#PearlBlue,1,positive
Amanda,the-zip-detail-jacket#Grey,1,positive
Maddy,the-long-sleeve-scoop-neck-tee#White,1,positive
Georgia,prairie-romance-blouse#Blush,1,positive
Marnee,daisy-chain-tassel-blouse#DeepBlue,1,positive
Rosaline,great-scot-merino-carcoat#Twilight,1,positive
Stefania,renee-sweater#Sapphire,1,positive
Ljubenka,falling-for-you-cardi#Rust,1,positive
Anna Maria,falling-for-you-cardi#Black,1,positive
Maddy,oregon-safari-embroidered-top#White,1,positive
Mercy,belle-square-neck-drape-tee#Vanilla,1,positive
Ljubenka,belle-half-sleeve-forgiver-tunic#White,1,positive
Edith,patchwork-tunic#Patchwork,1,positive
Mae-Lee,sugar-snaps-layers-tank#Black,1,positive
Summer,felicity-cardigan#Dewkist,1,positive
Maddy,the-long-sleeve-scoop-neck-tee#Navy,1,positive
Anna,milan-stretch-top#Black,1,positive
Laura,the-asymmetrical-tank-top#Indigo,1,positive
Jess,belle-half-sleeve-boat-tee#Black,1,positive
Mae-Lee,oregon-safari-embroidered-top#White,1,positive
Marnee,falling-for-you-cardi#GreyMarle,1,positive
